inventory_id,product_id,stock,warehouse_id,last_stock_date
1,34,89,3,07-03-2024
2,117,91,1,08-12-2024
3,356,70,2,26-08-2023
4,815,67,1,30-03-2024
5,406,71,4,15-02-2024
6,837,103,5,04-06-2023
7,691,117,2,14-07-2024
8,625,60,1,12-04-2024
9,514,77,5,11-12-2024
10,388,117,3,31-01-2023
11,209,100,4,25-11-2023
12,644,34,3,10-06-2023
13,509,82,5,15-06-2024
14,693,81,4,07-04-2023
15,304,17,5,06-02-2023
16,394,115,3,28-09-2023
17,414,20,2,23-12-2023
18,695,75,4,14-12-2023
19,204,119,1,17-12-2024
20,612,97,4,14-06-2024
21,473,87,3,05-05-2023
22,137,51,1,14-10-2023
23,679,53,1,02-05-2024
24,636,22,5,16-10-2023
25,538,93,4,04-09-2023
26,395,15,3,18-04-2023
27,448,66,1,29-04-2023
28,194,100,1,01-11-2024
29,771,75,1,19-08-2023
30,472,20,3,14-06-2023
31,204,34,4,14-10-2024
32,236,94,4,13-02-2024
33,223,74,2,04-12-2024
34,800,110,1,28-05-2024
35,370,18,2,25-09-2023
36,265,71,2,30-09-2023
37,747,77,4,08-02-2023
38,587,58,5,15-11-2023
39,656,53,4,30-05-2023
40,501,31,4,26-03-2023
41,205,53,2,06-07-2024
42,514,73,2,29-01-2024
43,108,71,4,11-11-2024
44,793,24,5,28-12-2023
45,230,27,3,10-03-2024
46,536,93,1,07-07-2024
47,733,31,4,08-04-2024
48,359,120,4,14-09-2023
49,745,25,3,07-09-2024
50,655,98,2,27-09-2024
51,542,81,4,28-12-2024
52,3,109,5,16-03-2023
53,650,32,2,29-02-2024
54,755,56,4,25-02-2024
55,170,25,2,07-10-2023
56,72,102,3,26-07-2024
57,397,101,4,24-08-2023
58,608,31,2,10-06-2023
59,91,100,5,30-12-2024
60,6,16,1,29-04-2023
61,106,71,4,30-03-2023
62,609,117,4,23-10-2023
63,12,41,1,03-01-2023
64,47,88,4,09-02-2024
65,440,73,5,11-07-2023
66,611,13,5,26-05-2023
67,795,39,1,27-05-2023
68,148,106,1,13-03-2023
69,612,15,3,02-08-2024
70,694,70,1,03-09-2023
71,54,53,3,15-02-2023
72,317,17,5,04-05-2024
73,31,60,5,01-10-2023
74,177,35,5,19-07-2023
75,828,52,2,26-02-2024
76,228,22,3,30-12-2024
77,407,35,4,09-01-2023
78,176,0,1,01-09-2024
79,245,63,1,03-02-2024
80,719,112,1,08-08-2023
81,628,38,4,10-05-2023
82,618,95,3,11-07-2024
83,361,109,2,18-09-2023
84,669,8,5,22-03-2023
85,308,17,2,26-01-2023
86,195,16,4,26-08-2023
87,196,28,3,16-03-2024
88,511,46,5,17-02-2024
89,639,6,1,18-09-2024
90,454,1,4,23-10-2023
91,535,27,1,24-04-2024
