order_item_id,order_id,product_id,quantity,price_per_unit
1,18949,225,1,72.93
2,62561,182,1,551.45
3,30753,550,1,95.95
4,29195,277,1,161.99
5,77426,234,2,104.53
6,90160,450,4,101.61
7,89960,644,2,67.31
8,75112,827,1,161.51
9,89584,56,1,2429.03
10,90510,130,2,1270.67
11,41445,368,1,192.86
12,32501,790,1,418.19
13,62055,193,1,2329.58
14,73476,170,1,1435.76
15,9185,307,1,108.22
16,82116,501,1,345.02
17,70924,443,1,210.88
18,1044,738,1,140.26
19,42385,302,1,110.6
20,3814,416,1,237.73
21,56025,375,1,94.51
22,59914,144,1,893.7
23,72808,252,1,88.87
24,17764,417,1,183.3
25,87236,351,2,106.17
26,69560,593,1,38.05
27,13306,50,1,699.69
28,7569,676,1,195.28
29,52163,220,3,2128.96
30,37967,566,3,74.04
31,69487,367,1,217.01
32,1578,697,1,62.96
33,66858,847,2,82.79
34,12751,340,1,47.41
35,2082,505,2,338.31
36,11599,270,2,76.57
37,91761,232,1,106.09
38,52961,590,1,35.21
39,21298,208,1,1599.96
40,54380,16,2,697
41,80717,81,1,2179.45
42,30874,488,1,179.28
43,91307,549,2,67.03
44,34902,654,1,126.06
45,91289,55,1,1450.93
46,94024,316,1,139.67
47,12834,67,1,612.82
48,31112,674,1,91.61
49,80384,560,2,77.29
50,55799,165,1,493.52
51,1309,819,1,67.91
52,48621,638,1,57.93
53,31926,626,1,53.36
54,81616,801,1,280.08
55,51718,67,2,612.82
56,15952,416,1,237.73
57,4711,694,1,57.93
58,98688,540,2,32.85
59,28409,340,1,47.41
60,51098,672,1,160.18
61,41302,158,1,1853.29
62,1802,249,2,218.37
63,19529,112,1,654.43
64,73623,545,1,77.05
65,74729,166,1,2080.6
66,26884,528,3,45.58
67,8039,510,1,359.27
68,62591,30,1,358.22
69,19927,816,1,212.43
70,21286,659,1,109.2
71,62123,70,2,2884.14
72,58667,30,1,358.22
73,46431,194,1,1529.24
74,25653,604,1,28.08
75,30687,645,1,42.2
76,62863,774,1,175.76
77,77170,262,1,238.23
78,42875,182,1,551.45
79,52521,470,1,543.54
80,73760,545,1,77.05
81,98438,506,1,138.24
82,47670,254,2,79.63
83,54880,497,1,291.81
84,60777,712,1,101.6
85,18872,849,1,207.15
86,88648,178,1,1039.95
87,59584,298,1,66.54
88,99581,504,2,410.46
89,20233,612,4,99.88
90,63235,586,1,42.98
91,33190,334,2,50.93
92,73118,55,1,1450.93
93,10689,224,5,86.46
94,76050,379,1,410.89
95,90435,789,1,194.77
96,95026,564,3,14.35
97,13589,549,3,67.03
98,21820,111,1,875.42
99,6883,809,2,191.41
100,31422,584,1,50.02
101,49824,383,3,311.85
102,4512,693,1,89.35
103,56980,393,1,210.09
104,96475,811,1,465.41
105,47969,102,2,1536.79
106,68608,333,3,23.12
107,54959,572,1,97.56
108,34767,186,2,1591.62
109,2762,258,1,139.68
110,49299,766,1,229.2
111,84608,416,1,237.73
112,61884,836,1,182
113,46570,181,1,960.96
114,79733,81,1,2179.45
115,60151,820,1,158.47
116,44961,598,1,37.17
117,1642,248,1,220.15
118,54125,421,1,396.57
119,60468,504,1,410.46
120,59437,192,1,2315.69
121,91977,519,2,587.38
122,23832,429,1,202.76
123,16476,642,1,66.69
124,21780,636,1,81.59
125,99996,194,2,1529.24
126,7700,217,1,934.5
127,23530,312,2,43.29
128,52462,326,5,148.27
129,71331,690,1,51.49
130,55245,416,3,237.73
131,1291,85,1,910.42
132,93305,501,1,345.02
133,10721,194,1,1529.24
134,71547,547,1,31.12
