order_id,order_date,customer_id,seller_id,order_status
24435,14-12-2023,38668,57,Cancelled
9593,02-09-2023,49781,6,Completed
57625,25-03-2020,43600,43,Inprogress
89208,08-09-2021,5065,18,Completed
40929,06-07-2023,67145,3,Completed
13395,25-11-2024,78853,5,Cancelled
59090,26-02-2022,43526,40,Inprogress
45883,10-05-2021,46698,56,Cancelled
84608,14-12-2021,95151,65,Completed
91041,20-10-2023,31459,51,Completed
71594,25-02-2023,30379,52,Completed
24941,24-09-2022,20074,22,Completed
26374,13-01-2022,45623,13,Completed
15249,19-03-2020,73018,29,Completed
31382,16-12-2021,9490,38,Cancelled
28946,29-09-2023,25975,34,Completed
41265,17-08-2023,86958,53,Completed
66769,09-12-2023,34602,5,Returned
41027,24-03-2020,99479,5,Completed
42945,01-01-2022,29502,3,Completed
70520,07-12-2023,98478,54,Completed
62849,18-07-2023,23326,41,Completed
14489,09-09-2021,1367,49,Completed
90751,21-02-2024,61889,7,Inprogress
40329,01-04-2023,70290,58,Completed
80891,30-05-2020,69755,2,Inprogress
28563,23-10-2022,16669,51,Completed
75843,28-12-2022,77396,14,Completed
89065,06-02-2020,32496,38,Completed
21263,19-05-2023,15531,24,Inprogress
43436,15-07-2020,50838,7,Completed
21498,19-02-2022,35093,42,Completed
26153,17-04-2022,53529,20,Completed
52935,18-06-2022,32705,15,Completed
23515,08-11-2024,48919,29,Completed
21701,09-08-2020,18196,57,Completed
80970,30-04-2023,70090,58,Completed
87847,18-12-2020,22872,46,Completed
21595,09-06-2024,87394,40,Completed
43687,27-07-2021,50677,5,Inprogress
68694,02-05-2020,86513,65,Inprogress
63098,23-05-2024,63373,16,Completed
86654,19-04-2021,89418,29,Completed
79017,02-04-2024,47169,64,Completed
55645,18-05-2022,5397,36,Completed
96219,22-02-2022,12013,34,Returned
36308,01-06-2021,63175,12,Completed
30979,12-11-2021,5426,34,Completed
35452,17-04-2024,14918,48,Completed
62863,30-05-2022,36342,37,Completed
40795,29-10-2023,90059,65,Returned
49600,20-07-2023,20452,54,Returned
20003,05-05-2023,40048,48,Completed
41138,25-06-2020,90083,15,Completed
44741,04-02-2024,64794,6,Completed
96251,03-05-2023,70836,63,Completed
47390,03-10-2020,2916,25,Inprogress
98676,12-07-2024,27024,57,Completed
42333,01-05-2023,54421,42,Returned
59944,03-12-2020,43698,23,Completed
41372,04-10-2023,58500,1,Cancelled
56744,29-06-2024,68295,37,Cancelled
74831,16-10-2023,17429,40,Completed
52582,19-06-2021,37686,1,Completed
55673,10-06-2022,94941,16,Completed
1743,22-12-2021,26719,37,Completed
53963,28-10-2021,49426,44,Completed
8249,25-06-2020,76923,26,Completed
54580,31-07-2024,60402,20,Completed
47348,01-03-2021,73973,33,Completed
85645,02-11-2024,93842,47,Completed
19340,28-05-2020,1253,46,Completed
60885,28-09-2020,86205,47,Returned
36940,16-10-2020,67781,44,Completed
3553,23-01-2022,55997,65,Cancelled
93319,06-05-2020,71358,36,Cancelled
27504,30-11-2024,73180,23,Cancelled
28342,28-01-2020,61994,21,Completed
87776,27-05-2020,21419,51,Completed
94935,24-02-2021,42846,5,Cancelled
34545,21-09-2023,26066,28,Completed
39639,20-12-2022,14960,32,Completed
49952,12-04-2022,65960,21,Completed
4103,21-05-2021,34139,20,Completed
43184,13-09-2020,63242,58,Returned
57033,29-05-2022,62095,38,Completed
51122,11-12-2024,84714,43,Completed
43688,13-06-2024,71157,16,Inprogress
74147,23-07-2023,41244,50,Inprogress
74396,03-07-2022,87732,59,Returned
97864,25-08-2021,80595,20,Inprogress
27142,15-08-2021,37473,25,Completed
29177,16-02-2021,58507,63,Completed
81944,28-07-2023,69102,21,Returned
66921,16-03-2024,56265,53,Completed
58685,17-06-2021,96664,1,Cancelled
36908,07-11-2021,32496,52,Cancelled
15003,15-05-2022,62095,65,Completed
10755,12-04-2024,26243,5,Completed
32868,03-06-2020,55104,16,Cancelled
22026,27-12-2023,29040,14,Completed
43661,10-07-2022,82241,2,Completed
95745,13-05-2021,42333,6,Completed
63872,09-02-2023,92523,29,Completed
95537,12-02-2021,14330,41,Cancelled
78717,21-12-2024,99301,13,Inprogress
62587,02-02-2020,14960,51,Completed
7029,26-07-2021,74985,2,Completed
87431,26-05-2021,59397,18,Inprogress
52126,29-04-2020,17225,29,Completed
91151,18-12-2022,94938,47,Completed
93600,27-05-2020,15708,46,Completed
64837,05-05-2024,91104,31,Inprogress
33747,18-09-2022,75182,13,Completed
37718,19-09-2022,34390,34,Completed
80522,27-10-2024,44776,11,Completed
77823,11-10-2023,52283,55,Completed
50154,21-10-2022,58956,24,Completed
8774,05-01-2024,52606,46,Completed
14295,16-08-2021,55123,5,Completed
8355,20-04-2022,89577,23,Completed
84837,28-09-2021,69069,17,Completed
45917,20-11-2021,14918,19,Completed
37181,06-08-2023,14055,32,Completed
71503,29-03-2020,58337,17,Completed
49424,03-05-2020,73572,38,Completed
58425,07-06-2020,45257,62,Inprogress
38255,27-12-2024,80539,64,Cancelled
15553,06-02-2020,54800,18,Cancelled
62845,13-06-2023,72889,9,Completed
18600,01-03-2023,84345,62,Cancelled
99281,25-12-2021,25975,55,Inprogress
10697,21-03-2022,58587,48,Completed
43538,28-12-2022,29937,54,Inprogress
97003,09-07-2020,54309,21,Completed
55234,18-08-2021,6114,57,Completed
20893,22-08-2022,27587,7,Inprogress
20715,05-11-2023,63627,11,Completed
78307,25-03-2024,27781,3,Completed
40171,21-06-2023,1367,20,Completed
76246,16-04-2020,47717,51,Completed
27213,25-03-2022,5793,62,Completed
74641,19-07-2023,24816,37,Completed
12535,07-08-2021,71865,42,Cancelled
58443,08-07-2022,85778,22,Completed
33142,18-04-2021,23580,60,Completed
43970,27-12-2022,16980,43,Completed
76069,08-11-2020,82123,27,Completed
72642,03-10-2020,79523,59,Cancelled
87598,22-10-2023,24561,42,Completed
35172,17-03-2020,15926,38,Inprogress
73964,05-10-2023,92004,32,Inprogress
70602,01-11-2023,41571,63,Returned
39196,14-12-2024,51040,38,Completed
91383,05-08-2023,12458,65,Inprogress
3864,02-04-2022,43581,47,Inprogress
19411,03-07-2021,63782,7,Completed
9913,31-08-2022,86284,23,Returned
92652,06-07-2021,60129,28,Completed
94244,21-04-2022,82714,31,Completed
97869,20-09-2024,49074,47,Cancelled
42151,23-08-2023,50889,3,Completed
48347,30-08-2024,47126,32,Inprogress
59437,06-10-2022,50265,5,Completed
98946,25-11-2024,70063,60,Completed
29155,17-06-2023,80475,7,Returned
25135,20-01-2021,16669,57,Completed
43109,13-07-2020,86405,10,Completed
62384,17-04-2024,50536,65,Completed
30842,02-08-2021,27045,27,Completed
61398,13-08-2020,52107,54,Inprogress
48474,11-05-2022,36922,3,Completed
44648,09-04-2020,12146,40,Completed
27081,04-03-2020,13190,26,Completed
89823,31-10-2021,26177,1,Completed
93282,06-12-2020,24534,50,Completed
34951,07-11-2023,78363,27,Completed
34470,05-03-2022,38728,17,Returned
80117,02-03-2022,55378,30,Completed
98996,27-08-2020,52502,13,Completed
4032,17-04-2020,75857,20,Completed
19385,03-08-2020,1175,9,Completed
16622,24-06-2020,94505,58,Completed
85179,18-05-2023,80540,38,Completed
54841,10-08-2022,34832,6,Completed
57011,10-04-2024,15708,47,Completed
