shipping_id,order_id,shipping_date,return_date,shipping_provider,delivery_status
1,49299,14-06-2024,,dhl,Delivered
2,76631,17-04-2020,,bluedart,Delivered
3,65101,15-01-2024,,dhl,Delivered
4,29563,20-02-2020,,usps,Delivered
5,86037,05-01-2024,,dhl,Delivered
6,33847,18-12-2020,,fedex,Delivered
7,96216,29-12-2021,,ups,Delivered
8,21050,06-03-2020,,bluedart,Delivered
9,76444,13-03-2021,,fedex,Delivered
10,30087,17-08-2020,,fedex,Delivered
11,42907,27-02-2020,,dhl,Delivered
12,77128,11-02-2022,,bluedart,Delivered
13,43005,02-12-2023,,bluedart,Delivered
14,9812,27-04-2020,,fedex,Delivered
15,38030,01-02-2023,,dhl,Delivered
16,23741,09-11-2024,,fedex,Delivered
17,84631,29-01-2022,,fedex,Delivered
18,81653,26-05-2024,,fedex,Shipped
19,22758,21-10-2023,,ups,Delivered
20,94586,17-03-2021,,ups,Delivered
21,10540,18-08-2021,,bluedart,Delivered
22,11922,09-02-2024,,fedex,Delivered
23,24452,01-04-2022,,fedex,Delivered
24,84394,18-07-2021,25-07-2021,dhl,Returned
25,88502,22-09-2024,,fedex,Delivered
26,40015,15-08-2021,,fedex,Delivered
27,70603,09-08-2020,07-09-2020,dhl,Returned
28,75569,25-07-2021,,fedex,Shipped
29,28968,29-01-2023,,fedex,Delivered
30,60580,14-09-2021,,bluedart,Shipped
31,39747,15-06-2023,,bluedart,Delivered
32,66902,26-08-2024,,bluedart,Delivered
33,13100,07-02-2020,,ups,Delivered
34,25364,25-04-2020,14-05-2020,fedex,Returned
35,31816,14-05-2022,,dhl,Cancelled
36,26967,01-09-2020,,bluedart,Delivered
37,19402,03-11-2022,,ups,In Transit
38,82231,22-10-2024,03-11-2024,bluedart,Returned
39,83706,13-06-2021,,fedex,Delivered
40,59784,16-02-2023,,dhl,Delivered
41,54022,06-08-2024,,dhl,Delivered
42,20490,01-04-2020,,dhl,Delivered
43,3163,19-07-2024,,usps,Delivered
44,51607,17-01-2024,,bluedart,In Transit
45,46962,03-10-2024,,bluedart,Shipped
46,3391,18-09-2021,,usps,Delivered
47,10411,10-10-2020,,fedex,Delivered
48,99197,26-01-2024,,fedex,Cancelled
49,70681,13-07-2021,,fedex,In Transit
50,76289,19-02-2021,,delhivery,Delivered
51,59187,24-09-2022,,dhl,Delivered
52,18368,12-01-2024,,dhl,Delivered
53,85122,19-10-2021,,dhl,Delivered
54,59370,08-11-2022,,ups,Delivered
55,25760,19-01-2024,04-02-2024,bluedart,Returned
56,55346,14-01-2021,,fedex,Delivered
57,75694,28-06-2020,,dhl,Delivered
58,57357,12-08-2021,,dhl,Delivered
59,18093,08-04-2024,,fedex,Cancelled
60,67315,14-09-2024,,bluedart,Delivered
61,52514,07-11-2023,,fedex,Delivered
62,65929,12-01-2023,,ups,Delivered
63,10965,29-04-2023,10-05-2023,fedex,Returned
64,67433,04-09-2022,,fedex,Delivered
65,79527,25-10-2023,,dhl,Delivered
66,88463,02-07-2021,,fedex,Shipped
67,13741,19-02-2023,,fedex,Delivered
68,9199,29-12-2021,,fedex,Delivered
69,35737,14-11-2024,,fedex,Delivered
70,5151,09-05-2021,,dhl,Delivered
71,36056,16-08-2021,,usps,Delivered
72,72762,28-01-2023,,fedex,Shipped
73,62617,05-02-2024,,fedex,Delivered
74,8678,01-07-2023,,dhl,Delivered
75,35282,25-04-2024,,fedex,Delivered
76,32353,09-10-2020,,delhivery,Delivered
77,3425,14-02-2021,,delhivery,Delivered
78,53197,14-11-2022,,fedex,Delivered
79,13074,17-04-2023,,bluedart,Delivered
80,79668,07-05-2024,,fedex,Delivered
81,78706,07-04-2024,,dhl,Delivered
82,11971,31-08-2023,,usps,Delivered
83,29763,06-11-2022,,ups,Delivered
84,54765,31-12-2021,,fedex,Delivered
85,98181,11-07-2023,,bluedart,Delivered
86,62735,16-05-2022,,fedex,Delivered
87,44310,25-10-2024,,fedex,Delivered
88,58086,12-09-2020,,bluedart,Cancelled
89,10841,08-08-2024,20-08-2024,bluedart,Returned
90,23527,17-09-2023,,fedex,Delivered
91,28491,07-07-2022,,ups,Delivered
92,85983,02-02-2020,,bluedart,Shipped
93,56808,11-07-2021,,fedex,Delivered
94,64943,23-03-2020,,bluedart,Delivered
95,72717,07-01-2023,,bluedart,Delivered
96,81620,18-01-2020,,dhl,Delivered
97,64813,18-04-2020,,dhl,Delivered
98,82410,26-10-2024,,dhl,Delivered
99,42241,06-05-2022,,fedex,Delivered
100,56957,20-01-2021,,dhl,Delivered
101,10898,09-01-2022,,fedex,Delivered
102,68481,04-11-2024,,fedex,Delivered
103,47635,07-10-2020,,dhl,Delivered
104,38751,30-08-2020,,bluedart,Delivered
105,88437,22-03-2022,,dhl,Delivered
106,55038,16-09-2024,,delhivery,Delivered
107,46756,16-03-2023,26-03-2023,dhl,Returned
108,60169,10-09-2023,,fedex,Shipped
109,33397,15-07-2020,,fedex,In Transit
110,87003,15-03-2024,,fedex,Delivered
111,28799,19-09-2023,,bluedart,Delivered
112,37954,17-02-2024,,fedex,Shipped
113,74744,14-03-2020,,bluedart,Delivered
114,66968,16-03-2021,,fedex,Delivered
115,63648,13-04-2020,,dhl,Delivered
116,27128,28-11-2021,,fedex,In Transit
117,85795,28-01-2023,,bluedart,Delivered
118,99649,21-01-2021,,fedex,Delivered
119,15806,21-05-2021,,dhl,Shipped
120,36466,16-01-2023,,dhl,Delivered
121,8039,18-08-2022,,fedex,Delivered
122,61674,11-05-2020,,fedex,Delivered
123,91494,18-09-2024,,fedex,Delivered
124,63878,15-01-2023,,usps,Delivered
125,26688,11-12-2024,10-01-2025,ups,Returned
126,92019,22-02-2022,,bluedart,Delivered
127,51285,08-01-2024,,dhl,In Transit
128,2572,10-02-2023,,delhivery,Delivered
129,61485,28-04-2020,,fedex,Delivered
130,10789,28-06-2020,,dhl,Delivered
